file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,d3b0d7ed,Colin-Tran,2026-04-03,23:31:36,-07:00,2026-04-03T23:31:36-07:00,0,4
style.css,2,css,d3b0d7ed,Colin-Tran,2026-04-03,23:31:36,-07:00,2026-04-03T23:31:36-07:00,1,43
style.css,3,css,d3b0d7ed,Colin-Tran,2026-04-03,23:31:36,-07:00,2026-04-03T23:31:36-07:00,0,42
style.css,4,css,d784e5f7,Colin-Tran,2026-04-10,14:14:44,-07:00,2026-04-10T14:14:44-07:00,0,0
style.css,5,css,d3b0d7ed,Colin-Tran,2026-04-03,23:31:36,-07:00,2026-04-03T23:31:36-07:00,1,23
style.css,6,css,e292551e,Colin-Tran,2026-04-10,22:23:31,-07:00,2026-04-10T22:23:31-07:00,1,15
style.css,7,css,d784e5f7,Colin-Tran,2026-04-10,14:14:44,-07:00,2026-04-10T14:14:44-07:00,1,18
style.css,8,css,7d740565,Colin-Tran,2026-04-10,23:00:09,-07:00,2026-04-10T23:00:09-07:00,1,11
style.css,9,css,cab19aed,Colin-Tran,2026-04-10,22:28:52,-07:00,2026-04-10T22:28:52-07:00,1,32
style.css,10,css,d51459a0,Colin-Tran,2026-04-10,22:07:09,-07:00,2026-04-10T22:07:09-07:00,0,0
style.css,11,css,d51459a0,Colin-Tran,2026-04-10,22:07:09,-07:00,2026-04-10T22:07:09-07:00,0,0
style.css,12,css,0e3b49a8,Colin-Tran,2026-04-17,15:08:42,-07:00,2026-04-17T15:08:42-07:00,0,0
style.css,13,css,0e3b49a8,Colin-Tran,2026-04-17,15:08:42,-07:00,2026-04-17T15:08:42-07:00,0,13
style.css,14,css,0e3b49a8,Colin-Tran,2026-04-17,15:08:42,-07:00,2026-04-17T15:08:42-07:00,1,17
style.css,15,css,0e3b49a8,Colin-Tran,2026-04-17,15:08:42,-07:00,2026-04-17T15:08:42-07:00,1,8
style.css,16,css,0e3b49a8,Colin-Tran,2026-04-17,15:08:42,-07:00,2026-04-17T15:08:42-07:00,1,10
style.css,17,css,0e3b49a8,Colin-Tran,2026-04-17,15:08:42,-07:00,2026-04-17T15:08:42-07:00,1,15
style.css,18,css,0e3b49a8,Colin-Tran,2026-04-17,15:08:42,-07:00,2026-04-17T15:08:42-07:00,0,0
style.css,19,css,0e3b49a8,Colin-Tran,2026-04-17,15:08:42,-07:00,2026-04-17T15:08:42-07:00,0,0
style.css,20,css,0e3b49a8,Colin-Tran,2026-04-17,15:08:42,-07:00,2026-04-17T15:08:42-07:00,0,0
style.css,21,css,d51459a0,Colin-Tran,2026-04-10,22:07:09,-07:00,2026-04-10T22:07:09-07:00,0,3
style.css,22,css,0e3b49a8,Colin-Tran,2026-04-17,15:08:42,-07:00,2026-04-17T15:08:42-07:00,1,39
style.css,23,css,0e3b49a8,Colin-Tran,2026-04-17,15:08:42,-07:00,2026-04-17T15:08:42-07:00,1,41
style.css,24,css,d51459a0,Colin-Tran,2026-04-10,22:07:09,-07:00,2026-04-10T22:07:09-07:00,1,12
style.css,25,css,b29ad931,Colin-Tran,2026-04-10,22:16:46,-07:00,2026-04-10T22:16:46-07:00,1,18
style.css,26,css,0e3b49a8,Colin-Tran,2026-04-17,15:08:42,-07:00,2026-04-17T15:08:42-07:00,1,39
style.css,27,css,d51459a0,Colin-Tran,2026-04-10,22:07:09,-07:00,2026-04-10T22:07:09-07:00,0,0
style.css,28,css,d51459a0,Colin-Tran,2026-04-10,22:07:09,-07:00,2026-04-10T22:07:09-07:00,0,0
style.css,29,css,d51459a0,Colin-Tran,2026-04-10,22:07:09,-07:00,2026-04-10T22:07:09-07:00,0,5
style.css,30,css,d51459a0,Colin-Tran,2026-04-10,22:07:09,-07:00,2026-04-10T22:07:09-07:00,1,6
style.css,31,css,474211d4,Colin-Tran,2026-04-10,22:10:44,-07:00,2026-04-10T22:10:44-07:00,1,20
style.css,32,css,b29ad931,Colin-Tran,2026-04-10,22:16:46,-07:00,2026-04-10T22:16:46-07:00,1,13
style.css,33,css,b29ad931,Colin-Tran,2026-04-10,22:16:46,-07:00,2026-04-10T22:16:46-07:00,1,17
style.css,34,css,90ce014a,Colin-Tran,2026-04-10,22:30:32,-07:00,2026-04-10T22:30:32-07:00,1,13
style.css,35,css,b29ad931,Colin-Tran,2026-04-10,22:16:46,-07:00,2026-04-10T22:16:46-07:00,0,0
style.css,36,css,b29ad931,Colin-Tran,2026-04-10,22:16:46,-07:00,2026-04-10T22:16:46-07:00,0,0
style.css,37,css,b29ad931,Colin-Tran,2026-04-10,22:16:46,-07:00,2026-04-10T22:16:46-07:00,0,13
style.css,38,css,b29ad931,Colin-Tran,2026-04-10,22:16:46,-07:00,2026-04-10T22:16:46-07:00,1,43
